id	jurisdiction	variant	percent	origin_samples	collection_date	month	day	year
45	al	AY.77	3.0478	a37	11/29/2025	11	29	2025
46	al	AY.80	3.0478	a37	11/29/2025	11	29	2025
47	al	AY.98	3.0478	a37	11/29/2025	11	29	2025
48	al	B.1.617.2	10.3773	a37	11/29/2025	11	29	2025
49	ar	BA.2	0.86	a6	11/22/2025	11	22	2025
50	ar	BA.2.19	0.1124	a6	11/22/2025	11	22	2025
51	ar	BA.2.3.10	97.9623	a6	11/22/2025	11	22	2025
52	ar	BA.2.3.17	0.4361	a6	11/22/2025	11	22	2025
53	ar	BA.2.3.21	0.3362	a6	11/22/2025	11	22	2025
54	ar	BA.2.3.6	0.1549	a6	11/22/2025	11	22	2025
55	ar	BA.2.62	0.1381	a6	11/22/2025	11	22	2025
56	ar	AY.111	3.0478	a38	11/29/2025	11	29	2025
57	ar	AY.119	3.0478	a38	11/29/2025	11	29	2025
58	ar	AY.119.2	3.0478	a38	11/29/2025	11	29	2025
59	ar	AY.124	3.0478	a38	11/29/2025	11	29	2025
60	ar	AY.127	3.0478	a38	11/29/2025	11	29	2025
61	ar	AY.26	5.5557	a38	11/29/2025	11	29	2025
62	ar	AY.33	3.0478	a38	11/29/2025	11	29	2025
63	ar	AY.38	5.5557	a38	11/29/2025	11	29	2025
64	ar	AY.4	3.0478	a38	11/29/2025	11	29	2025
65	ar	AY.4.3	3.0478	a38	11/29/2025	11	29	2025
66	ar	AY.44	3.0478	a38	11/29/2025	11	29	2025
67	ar	AY.45	3.0478	a38	11/29/2025	11	29	2025
68	ar	AY.58	5.5557	a38	11/29/2025	11	29	2025
69	ar	AY.59	5.5557	a38	11/29/2025	11	29	2025
70	ar	AY.61	5.5557	a38	11/29/2025	11	29	2025
71	ar	AY.67	5.5557	a38	11/29/2025	11	29	2025
72	ar	AY.71	5.5557	a38	11/29/2025	11	29	2025
73	ar	AY.75	5.5557	a38	11/29/2025	11	29	2025
74	ar	AY.75.2	5.5557	a38	11/29/2025	11	29	2025
75	ar	AY.77	3.0478	a38	11/29/2025	11	29	2025
76	ar	AY.80	3.0478	a38	11/29/2025	11	29	2025
77	ar	AY.98	3.0478	a38	11/29/2025	11	29	2025
78	ar	B.1.617.2	10.3773	a38	11/29/2025	11	29	2025
79	ca	BA.2.23	0.1338	a8	11/22/2025	11	22	2025
80	ca	BA.2.29	0.1129	a8	11/22/2025	11	22	2025
81	ca	BA.2.31	99.7533	a8	11/22/2025	11	22	2025
82	ca	AY.111	3.0478	a39	11/29/2025	11	29	2025
83	ca	AY.119	3.0478	a39	11/29/2025	11	29	2025
84	ca	AY.119.2	3.0478	a39	11/29/2025	11	29	2025
85	ca	AY.124	3.0478	a39	11/29/2025	11	29	2025
86	ca	AY.127	3.0478	a39	11/29/2025	11	29	2025
87	ca	AY.26	5.5557	a39	11/29/2025	11	29	2025
88	ca	AY.33	3.0478	a39	11/29/2025	11	29	2025
89	ca	AY.38	5.5557	a39	11/29/2025	11	29	2025
90	ca	AY.4	3.0478	a39	11/29/2025	11	29	2025
91	ca	AY.4.3	3.0478	a39	11/29/2025	11	29	2025
92	ca	AY.44	3.0478	a39	11/29/2025	11	29	2025
93	ca	AY.45	3.0478	a39	11/29/2025	11	29	2025
94	ca	AY.58	5.5557	a39	11/29/2025	11	29	2025
95	ca	AY.59	5.5557	a39	11/29/2025	11	29	2025
96	ca	AY.61	5.5557	a39	11/29/2025	11	29	2025
97	ca	AY.67	5.5557	a39	11/29/2025	11	29	2025
98	ca	AY.71	5.5557	a39	11/29/2025	11	29	2025
99	ca	AY.75	5.5557	a39	11/29/2025	11	29	2025
100	ca	AY.75.2	5.5557	a39	11/29/2025	11	29	2025
101	ca	AY.77	3.0478	a39	11/29/2025	11	29	2025
102	ca	AY.80	3.0478	a39	11/29/2025	11	29	2025
103	ca	AY.98	3.0478	a39	11/29/2025	11	29	2025
104	ca	B.1.617.2	10.3773	a39	11/29/2025	11	29	2025
105	ca	AY.111	3.0478	a68	12/6/2025	12	6	2025
106	ca	AY.119	3.0478	a68	12/6/2025	12	6	2025
107	ca	AY.119.2	3.0478	a68	12/6/2025	12	6	2025
108	ca	AY.124	3.0478	a68	12/6/2025	12	6	2025
109	ca	AY.127	3.0478	a68	12/6/2025	12	6	2025
110	ca	AY.26	5.5557	a68	12/6/2025	12	6	2025
111	ca	AY.33	3.0478	a68	12/6/2025	12	6	2025
112	ca	AY.38	5.5557	a68	12/6/2025	12	6	2025
113	ca	AY.4	3.0478	a68	12/6/2025	12	6	2025
114	ca	AY.4.3	3.0478	a68	12/6/2025	12	6	2025
115	ca	AY.44	3.0478	a68	12/6/2025	12	6	2025
116	ca	AY.45	3.0478	a68	12/6/2025	12	6	2025
117	ca	AY.58	5.5557	a68	12/6/2025	12	6	2025
118	ca	AY.59	5.5557	a68	12/6/2025	12	6	2025
119	ca	AY.61	5.5557	a68	12/6/2025	12	6	2025
120	ca	AY.67	5.5557	a68	12/6/2025	12	6	2025
121	ca	AY.71	5.5557	a68	12/6/2025	12	6	2025
122	ca	AY.75	5.5557	a68	12/6/2025	12	6	2025
123	ca	AY.75.2	5.5557	a68	12/6/2025	12	6	2025
124	ca	AY.77	3.0478	a68	12/6/2025	12	6	2025
125	ca	AY.80	3.0478	a68	12/6/2025	12	6	2025
126	ca	AY.98	3.0478	a68	12/6/2025	12	6	2025
127	ca	B.1.617.2	10.3773	a68	12/6/2025	12	6	2025
128	co	AY.111	3.3276	a10,a9	11/22/2025	11	22	2025
129	co	AY.119	3.3276	a10,a9	11/22/2025	11	22	2025
130	co	AY.119.2	3.3276	a10,a9	11/22/2025	11	22	2025
131	co	AY.124	3.3276	a10,a9	11/22/2025	11	22	2025
132	co	AY.127	3.3276	a10,a9	11/22/2025	11	22	2025
133	co	AY.26	2.7778	a10	11/22/2025	11	22	2025
134	co	AY.33	1.5239	a10	11/22/2025	11	22	2025
135	co	AY.38	2.7778	a10	11/22/2025	11	22	2025
136	co	AY.4	3.3276	a10,a9	11/22/2025	11	22	2025
137	co	AY.4.3	3.3276	a10,a9	11/22/2025	11	22	2025
138	co	AY.44	3.3276	a10,a9	11/22/2025	11	22	2025
139	co	AY.45	3.3276	a10,a9	11/22/2025	11	22	2025
140	co	AY.58	2.7778	a10	11/22/2025	11	22	2025
141	co	AY.59	2.7778	a10	11/22/2025	11	22	2025
142	co	AY.61	2.7778	a10	11/22/2025	11	22	2025
143	co	AY.66	0.9971	a9	11/22/2025	11	22	2025
144	co	AY.67	2.7778	a10	11/22/2025	11	22	2025
145	co	AY.71	2.7778	a10	11/22/2025	11	22	2025
146	co	AY.75	2.7778	a10	11/22/2025	11	22	2025
147	co	AY.75.2	2.7778	a10	11/22/2025	11	22	2025
148	co	AY.77	1.5239	a10	11/22/2025	11	22	2025
149	co	AY.80	3.3276	a10,a9	11/22/2025	11	22	2025
150	co	AY.98	3.3276	a10,a9	11/22/2025	11	22	2025
151	co	B.1.617.2	34.3513	a10,a9	11/22/2025	11	22	2025
152	co	AY.111	3.0478	a40	11/29/2025	11	29	2025
153	co	AY.119	3.0478	a40	11/29/2025	11	29	2025
154	co	AY.119.2	3.0478	a40	11/29/2025	11	29	2025
155	co	AY.124	3.0478	a40	11/29/2025	11	29	2025
156	co	AY.127	3.0478	a40	11/29/2025	11	29	2025
157	co	AY.26	5.5557	a40	11/29/2025	11	29	2025
158	co	AY.33	3.0478	a40	11/29/2025	11	29	2025
159	co	AY.38	5.5557	a40	11/29/2025	11	29	2025
160	co	AY.4	3.0478	a40	11/29/2025	11	29	2025
161	co	AY.4.3	3.0478	a40	11/29/2025	11	29	2025
162	co	AY.44	3.0478	a40	11/29/2025	11	29	2025
163	co	AY.45	3.0478	a40	11/29/2025	11	29	2025
164	co	AY.58	5.5557	a40	11/29/2025	11	29	2025
165	co	AY.59	5.5557	a40	11/29/2025	11	29	2025
166	co	AY.61	5.5557	a40	11/29/2025	11	29	2025
167	co	AY.67	5.5557	a40	11/29/2025	11	29	2025
168	co	AY.71	5.5557	a40	11/29/2025	11	29	2025
169	co	AY.75	5.5557	a40	11/29/2025	11	29	2025
170	co	AY.75.2	5.5557	a40	11/29/2025	11	29	2025
171	co	AY.77	3.0478	a40	11/29/2025	11	29	2025
172	co	AY.80	3.0478	a40	11/29/2025	11	29	2025
173	co	AY.98	3.0478	a40	11/29/2025	11	29	2025
174	co	B.1.617.2	10.3773	a40	11/29/2025	11	29	2025
175	co	AY.111	3.0478	a69	12/6/2025	12	6	2025
176	co	AY.119	3.0478	a69	12/6/2025	12	6	2025
177	co	AY.119.2	3.0478	a69	12/6/2025	12	6	2025
178	co	AY.124	3.0478	a69	12/6/2025	12	6	2025
179	co	AY.127	3.0478	a69	12/6/2025	12	6	2025
180	co	AY.26	5.5557	a69	12/6/2025	12	6	2025
181	co	AY.33	3.0478	a69	12/6/2025	12	6	2025
182	co	AY.38	5.5557	a69	12/6/2025	12	6	2025
183	co	AY.4	3.0478	a69	12/6/2025	12	6	2025
184	co	AY.4.3	3.0478	a69	12/6/2025	12	6	2025
185	co	AY.44	3.0478	a69	12/6/2025	12	6	2025
186	co	AY.45	3.0478	a69	12/6/2025	12	6	2025
187	co	AY.58	5.5557	a69	12/6/2025	12	6	2025
188	co	AY.59	5.5557	a69	12/6/2025	12	6	2025
189	co	AY.61	5.5557	a69	12/6/2025	12	6	2025
190	co	AY.67	5.5557	a69	12/6/2025	12	6	2025
191	co	AY.71	5.5557	a69	12/6/2025	12	6	2025
192	co	AY.75	5.5557	a69	12/6/2025	12	6	2025
193	co	AY.75.2	5.5557	a69	12/6/2025	12	6	2025
194	co	AY.77	3.0478	a69	12/6/2025	12	6	2025
195	co	AY.80	3.0478	a69	12/6/2025	12	6	2025
196	co	AY.98	3.0478	a69	12/6/2025	12	6	2025
197	co	B.1.617.2	10.3773	a69	12/6/2025	12	6	2025
198	ct	AY.111	3.0478	a11	11/22/2025	11	22	2025
199	ct	AY.119	3.0478	a11	11/22/2025	11	22	2025
200	ct	AY.119.2	3.0478	a11	11/22/2025	11	22	2025
201	ct	AY.124	3.0478	a11	11/22/2025	11	22	2025
202	ct	AY.127	3.0478	a11	11/22/2025	11	22	2025
203	ct	AY.26	5.5557	a11	11/22/2025	11	22	2025
204	ct	AY.33	3.0478	a11	11/22/2025	11	22	2025
205	ct	AY.38	5.5557	a11	11/22/2025	11	22	2025
206	ct	AY.4	3.0478	a11	11/22/2025	11	22	2025
207	ct	AY.4.3	3.0478	a11	11/22/2025	11	22	2025
208	ct	AY.44	3.0478	a11	11/22/2025	11	22	2025
209	ct	AY.45	3.0478	a11	11/22/2025	11	22	2025
210	ct	AY.58	5.5557	a11	11/22/2025	11	22	2025
211	ct	AY.59	5.5557	a11	11/22/2025	11	22	2025
212	ct	AY.61	5.5557	a11	11/22/2025	11	22	2025
213	ct	AY.67	5.5557	a11	11/22/2025	11	22	2025
214	ct	AY.71	5.5557	a11	11/22/2025	11	22	2025
215	ct	AY.75	5.5557	a11	11/22/2025	11	22	2025
216	ct	AY.75.2	5.5557	a11	11/22/2025	11	22	2025
217	ct	AY.77	3.0478	a11	11/22/2025	11	22	2025
218	ct	AY.80	3.0478	a11	11/22/2025	11	22	2025
219	ct	AY.98	3.0478	a11	11/22/2025	11	22	2025
220	ct	B.1.617.2	10.3773	a11	11/22/2025	11	22	2025
221	ct	AY.111	3.0478	a41	11/29/2025	11	29	2025
222	ct	AY.119	3.0478	a41	11/29/2025	11	29	2025
223	ct	AY.119.2	3.0478	a41	11/29/2025	11	29	2025
224	ct	AY.124	3.0478	a41	11/29/2025	11	29	2025
225	ct	AY.127	3.0478	a41	11/29/2025	11	29	2025
226	ct	AY.26	5.5557	a41	11/29/2025	11	29	2025
227	ct	AY.33	3.0478	a41	11/29/2025	11	29	2025
228	ct	AY.38	5.5557	a41	11/29/2025	11	29	2025
229	ct	AY.4	3.0478	a41	11/29/2025	11	29	2025
230	ct	AY.4.3	3.0478	a41	11/29/2025	11	29	2025
231	ct	AY.44	3.0478	a41	11/29/2025	11	29	2025
232	ct	AY.45	3.0478	a41	11/29/2025	11	29	2025
233	ct	AY.58	5.5557	a41	11/29/2025	11	29	2025
234	ct	AY.59	5.5557	a41	11/29/2025	11	29	2025
235	ct	AY.61	5.5557	a41	11/29/2025	11	29	2025
236	ct	AY.67	5.5557	a41	11/29/2025	11	29	2025
237	ct	AY.71	5.5557	a41	11/29/2025	11	29	2025
238	ct	AY.75	5.5557	a41	11/29/2025	11	29	2025
239	ct	AY.75.2	5.5557	a41	11/29/2025	11	29	2025
240	ct	AY.77	3.0478	a41	11/29/2025	11	29	2025
241	ct	AY.80	3.0478	a41	11/29/2025	11	29	2025
242	ct	AY.98	3.0478	a41	11/29/2025	11	29	2025
243	ct	B.1.617.2	10.3773	a41	11/29/2025	11	29	2025
244	dc	AY.111	3.0478	a70	12/6/2025	12	6	2025
245	dc	AY.119	3.0478	a70	12/6/2025	12	6	2025
246	dc	AY.119.2	3.0478	a70	12/6/2025	12	6	2025
247	dc	AY.124	3.0478	a70	12/6/2025	12	6	2025
248	dc	AY.127	3.0478	a70	12/6/2025	12	6	2025
249	dc	AY.26	5.5557	a70	12/6/2025	12	6	2025
250	dc	AY.33	3.0478	a70	12/6/2025	12	6	2025
251	dc	AY.38	5.5557	a70	12/6/2025	12	6	2025
252	dc	AY.4	3.0478	a70	12/6/2025	12	6	2025
253	dc	AY.4.3	3.0478	a70	12/6/2025	12	6	2025
254	dc	AY.44	3.0478	a70	12/6/2025	12	6	2025
255	dc	AY.45	3.0478	a70	12/6/2025	12	6	2025
256	dc	AY.58	5.5557	a70	12/6/2025	12	6	2025
257	dc	AY.59	5.5557	a70	12/6/2025	12	6	2025
258	dc	AY.61	5.5557	a70	12/6/2025	12	6	2025
259	dc	AY.67	5.5557	a70	12/6/2025	12	6	2025
260	dc	AY.71	5.5557	a70	12/6/2025	12	6	2025
261	dc	AY.75	5.5557	a70	12/6/2025	12	6	2025
262	dc	AY.75.2	5.5557	a70	12/6/2025	12	6	2025
263	dc	AY.77	3.0478	a70	12/6/2025	12	6	2025
264	dc	AY.80	3.0478	a70	12/6/2025	12	6	2025
265	dc	AY.98	3.0478	a70	12/6/2025	12	6	2025
266	dc	B.1.617.2	10.3773	a70	12/6/2025	12	6	2025
267	fl	AY.111	3.0478	a12	11/22/2025	11	22	2025
268	fl	AY.119	3.0478	a12	11/22/2025	11	22	2025
269	fl	AY.119.2	3.0478	a12	11/22/2025	11	22	2025
270	fl	AY.124	3.0478	a12	11/22/2025	11	22	2025
271	fl	AY.127	3.0478	a12	11/22/2025	11	22	2025
272	fl	AY.26	5.5557	a12	11/22/2025	11	22	2025
273	fl	AY.33	3.0478	a12	11/22/2025	11	22	2025
274	fl	AY.38	5.5557	a12	11/22/2025	11	22	2025
275	fl	AY.4	3.0478	a12	11/22/2025	11	22	2025
276	fl	AY.4.3	3.0478	a12	11/22/2025	11	22	2025
277	fl	AY.44	3.0478	a12	11/22/2025	11	22	2025
278	fl	AY.45	3.0478	a12	11/22/2025	11	22	2025
279	fl	AY.58	5.5557	a12	11/22/2025	11	22	2025
280	fl	AY.59	5.5557	a12	11/22/2025	11	22	2025
281	fl	AY.61	5.5557	a12	11/22/2025	11	22	2025
282	fl	AY.67	5.5557	a12	11/22/2025	11	22	2025
283	fl	AY.71	5.5557	a12	11/22/2025	11	22	2025
284	fl	AY.75	5.5557	a12	11/22/2025	11	22	2025
285	fl	AY.75.2	5.5557	a12	11/22/2025	11	22	2025
286	fl	AY.77	3.0478	a12	11/22/2025	11	22	2025
287	fl	AY.80	3.0478	a12	11/22/2025	11	22	2025
288	fl	AY.98	3.0478	a12	11/22/2025	11	22	2025
289	fl	B.1.617.2	10.3773	a12	11/22/2025	11	22	2025
290	fl	AY.111	3.0478	a71	12/6/2025	12	6	2025
291	fl	AY.119	3.0478	a71	12/6/2025	12	6	2025
292	fl	AY.119.2	3.0478	a71	12/6/2025	12	6	2025
293	fl	AY.124	3.0478	a71	12/6/2025	12	6	2025
294	fl	AY.127	3.0478	a71	12/6/2025	12	6	2025
295	fl	AY.26	5.5557	a71	12/6/2025	12	6	2025
296	fl	AY.33	3.0478	a71	12/6/2025	12	6	2025
297	fl	AY.38	5.5557	a71	12/6/2025	12	6	2025
298	fl	AY.4	3.0478	a71	12/6/2025	12	6	2025
299	fl	AY.4.3	3.0478	a71	12/6/2025	12	6	2025
300	fl	AY.44	3.0478	a71	12/6/2025	12	6	2025
301	fl	AY.45	3.0478	a71	12/6/2025	12	6	2025
302	fl	AY.58	5.5557	a71	12/6/2025	12	6	2025
303	fl	AY.59	5.5557	a71	12/6/2025	12	6	2025
304	fl	AY.61	5.5557	a71	12/6/2025	12	6	2025
305	fl	AY.67	5.5557	a71	12/6/2025	12	6	2025
306	fl	AY.71	5.5557	a71	12/6/2025	12	6	2025
307	fl	AY.75	5.5557	a71	12/6/2025	12	6	2025
308	fl	AY.75.2	5.5557	a71	12/6/2025	12	6	2025
309	fl	AY.77	3.0478	a71	12/6/2025	12	6	2025
310	fl	AY.80	3.0478	a71	12/6/2025	12	6	2025
311	fl	AY.98	3.0478	a71	12/6/2025	12	6	2025
312	fl	B.1.617.2	10.3773	a71	12/6/2025	12	6	2025
313	hi	AY.111	3.0478	a42	11/29/2025	11	29	2025
314	hi	AY.119	3.0478	a42	11/29/2025	11	29	2025
315	hi	AY.119.2	3.0478	a42	11/29/2025	11	29	2025
316	hi	AY.124	3.0478	a42	11/29/2025	11	29	2025
317	hi	AY.127	3.0478	a42	11/29/2025	11	29	2025
318	hi	AY.26	5.5557	a42	11/29/2025	11	29	2025
319	hi	AY.33	3.0478	a42	11/29/2025	11	29	2025
320	hi	AY.38	5.5557	a42	11/29/2025	11	29	2025
321	hi	AY.4	3.0478	a42	11/29/2025	11	29	2025
322	hi	AY.4.3	3.0478	a42	11/29/2025	11	29	2025
323	hi	AY.44	3.0478	a42	11/29/2025	11	29	2025
324	hi	AY.45	3.0478	a42	11/29/2025	11	29	2025
325	hi	AY.58	5.5557	a42	11/29/2025	11	29	2025
326	hi	AY.59	5.5557	a42	11/29/2025	11	29	2025
327	hi	AY.61	5.5557	a42	11/29/2025	11	29	2025
328	hi	AY.67	5.5557	a42	11/29/2025	11	29	2025
329	hi	AY.71	5.5557	a42	11/29/2025	11	29	2025
330	hi	AY.75	5.5557	a42	11/29/2025	11	29	2025
331	hi	AY.75.2	5.5557	a42	11/29/2025	11	29	2025
332	hi	AY.77	3.0478	a42	11/29/2025	11	29	2025
333	hi	AY.80	3.0478	a42	11/29/2025	11	29	2025
334	hi	AY.98	3.0478	a42	11/29/2025	11	29	2025
335	hi	B.1.617.2	10.3773	a42	11/29/2025	11	29	2025
336	ia	AY.111	3.0478	a43	11/29/2025	11	29	2025
337	ia	AY.119	3.0478	a43	11/29/2025	11	29	2025
338	ia	AY.119.2	3.0478	a43	11/29/2025	11	29	2025
339	ia	AY.124	3.0478	a43	11/29/2025	11	29	2025
340	ia	AY.127	3.0478	a43	11/29/2025	11	29	2025
341	ia	AY.26	5.5557	a43	11/29/2025	11	29	2025
342	ia	AY.33	3.0478	a43	11/29/2025	11	29	2025
343	ia	AY.38	5.5557	a43	11/29/2025	11	29	2025
344	ia	AY.4	3.0478	a43	11/29/2025	11	29	2025
345	ia	AY.4.3	3.0478	a43	11/29/2025	11	29	2025
346	ia	AY.44	3.0478	a43	11/29/2025	11	29	2025
347	ia	AY.45	3.0478	a43	11/29/2025	11	29	2025
348	ia	AY.58	5.5557	a43	11/29/2025	11	29	2025
349	ia	AY.59	5.5557	a43	11/29/2025	11	29	2025
350	ia	AY.61	5.5557	a43	11/29/2025	11	29	2025
351	ia	AY.67	5.5557	a43	11/29/2025	11	29	2025
352	ia	AY.71	5.5557	a43	11/29/2025	11	29	2025
353	ia	AY.75	5.5557	a43	11/29/2025	11	29	2025
354	ia	AY.75.2	5.5557	a43	11/29/2025	11	29	2025
355	ia	AY.77	3.0478	a43	11/29/2025	11	29	2025
356	ia	AY.80	3.0478	a43	11/29/2025	11	29	2025
357	ia	AY.98	3.0478	a43	11/29/2025	11	29	2025
358	ia	B.1.617.2	10.3773	a43	11/29/2025	11	29	2025
359	id	AY.111	3.0478	a13	11/22/2025	11	22	2025
360	id	AY.119	3.0478	a13	11/22/2025	11	22	2025
361	id	AY.119.2	3.0478	a13	11/22/2025	11	22	2025
362	id	AY.124	3.0478	a13	11/22/2025	11	22	2025
363	id	AY.127	3.0478	a13	11/22/2025	11	22	2025
364	id	AY.26	5.5557	a13	11/22/2025	11	22	2025
365	id	AY.33	3.0478	a13	11/22/2025	11	22	2025
366	id	AY.38	5.5557	a13	11/22/2025	11	22	2025
367	id	AY.4	3.0478	a13	11/22/2025	11	22	2025
368	id	AY.4.3	3.0478	a13	11/22/2025	11	22	2025
369	id	AY.44	3.0478	a13	11/22/2025	11	22	2025
370	id	AY.45	3.0478	a13	11/22/2025	11	22	2025
371	id	AY.58	5.5557	a13	11/22/2025	11	22	2025
372	id	AY.59	5.5557	a13	11/22/2025	11	22	2025
373	id	AY.61	5.5557	a13	11/22/2025	11	22	2025
374	id	AY.67	5.5557	a13	11/22/2025	11	22	2025
375	id	AY.71	5.5557	a13	11/22/2025	11	22	2025
376	id	AY.75	5.5557	a13	11/22/2025	11	22	2025
377	id	AY.75.2	5.5557	a13	11/22/2025	11	22	2025
378	id	AY.77	3.0478	a13	11/22/2025	11	22	2025
379	id	AY.80	3.0478	a13	11/22/2025	11	22	2025
380	id	AY.98	3.0478	a13	11/22/2025	11	22	2025
381	id	B.1.617.2	10.3773	a13	11/22/2025	11	22	2025
382	id	AY.111	3.0478	a44	11/29/2025	11	29	2025
383	id	AY.119	3.0478	a44	11/29/2025	11	29	2025
384	id	AY.119.2	3.0478	a44	11/29/2025	11	29	2025
385	id	AY.124	3.0478	a44	11/29/2025	11	29	2025
386	id	AY.127	3.0478	a44	11/29/2025	11	29	2025
387	id	AY.26	5.5557	a44	11/29/2025	11	29	2025
388	id	AY.33	3.0478	a44	11/29/2025	11	29	2025
389	id	AY.38	5.5557	a44	11/29/2025	11	29	2025
390	id	AY.4	3.0478	a44	11/29/2025	11	29	2025
391	id	AY.4.3	3.0478	a44	11/29/2025	11	29	2025
392	id	AY.44	3.0478	a44	11/29/2025	11	29	2025
393	id	AY.45	3.0478	a44	11/29/2025	11	29	2025
394	id	AY.58	5.5557	a44	11/29/2025	11	29	2025
395	id	AY.59	5.5557	a44	11/29/2025	11	29	2025
396	id	AY.61	5.5557	a44	11/29/2025	11	29	2025
397	id	AY.67	5.5557	a44	11/29/2025	11	29	2025
398	id	AY.71	5.5557	a44	11/29/2025	11	29	2025
399	id	AY.75	5.5557	a44	11/29/2025	11	29	2025
400	id	AY.75.2	5.5557	a44	11/29/2025	11	29	2025
401	id	AY.77	3.0478	a44	11/29/2025	11	29	2025
402	id	AY.80	3.0478	a44	11/29/2025	11	29	2025
403	id	AY.98	3.0478	a44	11/29/2025	11	29	2025
404	id	B.1.617.2	10.3773	a44	11/29/2025	11	29	2025
405	il	AY.111	3.0478	a14	11/22/2025	11	22	2025
406	il	AY.119	3.0478	a14	11/22/2025	11	22	2025
407	il	AY.119.2	3.0478	a14	11/22/2025	11	22	2025
408	il	AY.124	3.0478	a14	11/22/2025	11	22	2025
409	il	AY.127	3.0478	a14	11/22/2025	11	22	2025
410	il	AY.26	5.5557	a14	11/22/2025	11	22	2025
411	il	AY.33	3.0478	a14	11/22/2025	11	22	2025
412	il	AY.38	5.5557	a14	11/22/2025	11	22	2025
413	il	AY.4	3.0478	a14	11/22/2025	11	22	2025
414	il	AY.4.3	3.0478	a14	11/22/2025	11	22	2025
415	il	AY.44	3.0478	a14	11/22/2025	11	22	2025
416	il	AY.45	3.0478	a14	11/22/2025	11	22	2025
417	il	AY.58	5.5557	a14	11/22/2025	11	22	2025
418	il	AY.59	5.5557	a14	11/22/2025	11	22	2025
419	il	AY.61	5.5557	a14	11/22/2025	11	22	2025
420	il	AY.67	5.5557	a14	11/22/2025	11	22	2025
421	il	AY.71	5.5557	a14	11/22/2025	11	22	2025
422	il	AY.75	5.5557	a14	11/22/2025	11	22	2025
423	il	AY.75.2	5.5557	a14	11/22/2025	11	22	2025
424	il	AY.77	3.0478	a14	11/22/2025	11	22	2025
425	il	AY.80	3.0478	a14	11/22/2025	11	22	2025
426	il	AY.98	3.0478	a14	11/22/2025	11	22	2025
427	il	B.1.617.2	10.3773	a14	11/22/2025	11	22	2025
428	il	AY.111	3.0478	a45	11/29/2025	11	29	2025
429	il	AY.119	3.0478	a45	11/29/2025	11	29	2025
430	il	AY.119.2	3.0478	a45	11/29/2025	11	29	2025
431	il	AY.124	3.0478	a45	11/29/2025	11	29	2025
